N_Ser,N_Par,Irradiation,Temperature,Current,Voltage,Label
9,10,10,5,0.5772892995,355.4240269,1
9,10,10,15,0.5791701892,335.94,1
9,10,10,25,0.5806803022,316.56,1
9,10,10,35,0.5818059139,297.27,1
9,10,10,45,0.5824433475,278.1,1
9,10,10,55,0.5825875808,259.0258637,1
9,10,10,65,0.5820820316,240.0895646,1
9,10,10,75,0.5807920937,221.31,1
9,10,10,85,0.5786200665,202.6833501,1
9,10,110,5,6.371725766,394.44,1
9,10,110,15,6.397074019,376.29,1
9,10,110,25,6.420317686,358.17,1
9,10,110,35,6.439902565,340.1553658,1
9,10,110,45,6.45667289,322.1850006,1
9,10,110,55,6.469417638,304.3061792,1
9,10,110,65,6.478445239,286.4873331,1
9,10,110,75,6.481721644,268.8,1
9,10,110,85,6.478764679,251.2364043,1
9,10,210,5,12.17019814,403.95,1
9,10,210,15,12.2213336,386.13,1
9,10,210,25,12.26674977,368.4,1
9,10,210,35,12.30801478,350.7,1
9,10,210,45,12.3426577,333.09,1
9,10,210,55,12.3715081,315.532574,1
9,10,210,65,12.39271257,298.0615904,1
9,10,210,75,12.40408058,280.71,1
9,10,210,85,12.40676802,263.43,1
9,10,310,5,17.96951935,409.08,1
9,10,310,15,18.04484426,391.509487,1
9,10,310,25,18.1141439,373.98,1
9,10,310,35,18.17709095,356.49,1
9,10,310,45,18.23055273,339.09,1
9,10,310,55,18.27473478,321.7605919,1
9,10,310,65,18.3089412,304.5,1
9,10,310,75,18.33165651,287.3185765,1
9,10,310,85,18.3377285,270.2768381,1
9,10,410,5,23.76636111,412.38,1
9,10,410,15,23.86788279,394.95,1
9,10,410,25,23.96046382,377.58,1
9,10,410,35,24.04340938,360.27,1
9,10,410,45,24.11596298,343.02,1
9,10,410,55,24.17730432,325.83,1
9,10,410,65,24.22654679,308.7,1
9,10,410,75,24.2577532,291.69,1
9,10,410,85,24.27014341,274.7869337,1
9,10,510,5,29.56192615,414.63,1
9,10,510,15,29.68908348,397.32,1
9,10,510,25,29.8038371,380.0882136,1
9,10,510,35,29.90867574,362.8915742,1
9,10,510,45,30.00126216,345.75,1
9,10,510,55,30.07917129,328.68,1
9,10,510,65,30.13836904,311.7105401,1
9,10,510,75,30.18025942,294.81,1
9,10,510,85,30.19996292,278.01,1
9,10,610,5,35.35507066,416.22,1
