Irradiation,Temperature,Current,Voltage,Label
10,0,0.172861167,162.295,1
10,10,0.173456956,153.6310478,1
10,20,0.173953345,145.0060478,1
10,30,0.174359214,136.405,1
10,40,0.17462994,127.855,1
10,50,0.174747978,119.3571306,1
10,60,0.174706898,110.9037496,1
10,70,0.174438026,102.5246409,1
110,0,1.907327429,179.3587294,1
110,10,1.915368131,171.2727416,1
110,20,1.922629681,163.2154408,1
110,30,1.929069211,155.185,1
110,40,1.934649163,147.1790947,1
110,50,1.939052682,139.2155371,1
110,60,1.942292241,131.2853896,1
110,70,1.944062616,123.4011536,1
210,0,3.64312991,183.4908152,1
210,10,3.658891683,175.57,1
210,20,3.673186893,167.6793855,1
210,30,3.686246592,159.8036078,1
210,40,3.697687621,151.9552131,1
210,50,3.707568229,144.1267791,1
210,60,3.714642559,136.36,1
210,70,3.719748068,128.6147229,1
310,0,5.378836801,185.727372,1
310,10,5.402089958,177.9157988,1
310,20,5.424267849,170.1006703,1
310,30,5.443745593,162.3300618,1
310,40,5.461462865,154.57,1
310,50,5.47622181,146.8501243,1
310,60,5.48795549,139.165,1
310,70,5.496492659,131.5121691,1
410,0,7.113750502,187.1630571,1
410,10,7.145560807,179.4009644,1
410,20,7.174392103,171.6751767,1
410,30,7.200975605,163.9631223,1
410,40,7.224476772,156.28,1
410,50,7.244547892,148.6278057,1
410,60,7.260957404,141.0054256,1
410,70,7.273062569,133.419062,1
510,0,8.848616133,188.1311193,1
510,10,8.887427167,180.4428997,1
510,20,8.924595618,172.75,1
510,30,8.957357528,165.103211,1
510,40,8.987452348,157.464701,1
510,50,9.012692537,149.8688329,1
510,60,9.033400655,142.3032814,1
510,70,9.049122413,134.7692194,1
610,0,10.58230642,188.8205448,1
610,10,10.63000972,181.1570498,1
610,20,10.67282993,173.5385214,1
610,30,10.71278099,165.9267892,1
610,40,10.74831512,158.3428327,1
610,50,10.77929521,150.7837578,1
610,60,10.80480761,143.2571892,1
610,70,10.82333173,135.7764509,1
710,0,12.31597803,189.2964692,1
710,10,12.37109169,181.6780691,1
710,20,12.4219086,174.085,1
710,30,12.46839304,166.5135327,1
710,40,12.50920599,158.9768954,1
710,50,12.54499658,151.4614233,1
710,60,12.57472048,143.9751249,1
710,70,12.59725163,136.525,1
810,0,14.04819081,189.6354914,1
810,10,14.11073044,182.0541801,1
810,20,14.16902523,174.49,1
810,30,14.22185373,166.9542463,1
810,40,14.26896862,159.445,1
810,50,14.31048421,151.9565007,1
810,60,14.34388582,144.510336,1
810,70,14.36912658,137.0998197,1
910,0,15.77973808,189.8586453,1
910,10,15.85060369,182.2987536,1
910,20,15.9150518,174.775,1
910,30,15.9740772,167.2713872,1
910,40,16.02696591,159.7914804,1
910,50,16.07365977,152.3317279,1
910,60,16.11035679,144.9227219,1
910,70,16.14012053,137.53,1
10,5,0.115442255,157.965,2
10,15,0.115814982,149.31,2
10,25,0.116114129,140.7,2
10,35,0.116344799,132.12,2
10,45,0.116472338,123.6,2
10,55,0.116498819,115.125,2
10,65,0.116408306,106.6990403,2
10,75,0.11614342,98.35904035,2
10,85,0.115697031,90.09,2
110,5,1.274346175,175.305,2
110,15,1.279442279,167.235,2
110,25,1.283985908,159.195,2
110,35,1.288057044,151.17,2
110,45,1.29130284,143.1957829,2
110,55,1.293865248,135.2481408,2
110,65,1.295606127,127.335,2
110,75,1.296321,119.4680673,2
110,85,1.295703887,111.6642026,2
210,5,2.434011116,179.535,2
210,15,2.444237641,171.615,2
210,25,2.453470052,163.725,2
210,35,2.461542624,155.8702288,2
210,45,2.468611564,148.035,2
210,55,2.474329025,140.235,2
210,65,2.478387754,132.48,2
210,75,2.480799031,124.7608218,2
210,85,2.481351527,117.0801127,2
310,5,3.593805613,181.8182634,2
310,15,3.609056224,174,2
310,25,3.622678172,166.2202774,2
310,35,3.635305249,158.445,2
310,45,3.646153608,150.705,2
310,55,3.65504473,143.0010336,2
310,65,3.661883499,135.33,2
310,75,3.665968603,127.71,2
310,85,3.6676464,120.12,2
410,5,4.75314669,183.285,2
410,15,4.773672307,175.53,2
410,25,4.792171555,167.8107928,2
410,35,4.808802027,160.1162482,2
410,45,4.823465061,152.445,2
410,55,4.83558236,144.81,2
410,65,4.845144544,137.205,2
410,75,4.851207727,129.6495196,2
410,85,4.854343341,122.119992,2
510,5,5.912554649,184.275,2
510,15,5.93754691,176.595,2
510,25,5.960711847,168.93,2
510,35,5.981939037,161.28,2
510,45,6.000527213,153.66,2
510,55,6.015644723,146.085,2
510,65,6.027605731,138.54,2
510,75,6.035906684,131.030256,2
510,85,6.039867509,123.5630165,2
610,5,7.070709514,184.995,2
610,15,7.100657188,177.36,2
610,25,7.129067238,169.725,2
610,35,7.15421774,162.1282345,2
610,45,7.176271954,154.56,2
610,55,7.195244109,147.015,2
610,65,7.209787538,139.515,2
610,75,7.22029343,132.045,2
610,85,7.225564209,124.62,2
710,5,8.229107336,185.49,2
710,15,8.264396229,177.885,2
710,25,8.297209969,170.2951365,2
710,35,8.325890704,162.75,2
710,45,8.35197668,155.2138526,2
710,55,8.374309715,147.705,2
710,65,8.391451981,140.2427006,2
710,75,8.403023144,132.825,2
710,85,8.409459824,125.4373792,2
810,5,9.386875491,185.8382375,2
810,15,9.427121029,178.2667051,2
810,25,9.464171741,170.7172527,2
810,35,9.497219447,163.2,2
810,45,9.526853395,155.7,2
810,55,9.55204215,148.23,2
810,65,9.571414909,140.805,2
810,75,9.585280155,133.4130257,2
810,85,9.592729346,126.06,2
910,5,10.54391492,186.075,2
910,15,10.58845317,178.5433988,2
910,25,10.62997929,171.0238398,2
910,35,10.66788111,163.5232946,2
910,45,10.70067851,156.06,2
910,55,10.72872414,148.6230282,2
910,65,10.75070215,141.225,2
910,75,10.76655672,133.86,2
910,85,10.77476612,126.54,2
1010,5,11.70009932,186.225,2
1010,15,11.75032607,178.7061233,2
1010,25,11.79656675,171.21,2
1010,35,11.83712859,163.7563084,2
1010,45,11.87378838,156.315,2
1010,55,11.90516851,148.9007936,2
1010,65,11.92992691,141.525,2
1010,75,11.94594415,134.205,2
1010,85,11.95475691,126.915,2
1110,5,12.85571197,186.3,2
1110,15,12.91113447,178.8,2
1110,25,12.96053634,171.345,2
1110,35,13.0069519,163.89,2
1110,45,13.04657468,156.48,2
1110,55,13.08010397,149.1,2
1110,65,13.10707079,141.75,2
1110,75,13.12550932,134.445,2
1110,85,13.13463327,127.185,2
10,5,0.115442255,157.965,2
10,15,0.115814982,149.31,2
10,25,0.116114129,140.7,2
10,35,0.116344799,132.12,2
10,45,0.116472338,123.6,2
10,55,0.116498819,115.125,2
10,65,0.116396349,106.71,2
10,75,0.11614342,98.35904035,2
10,85,0.115697031,90.09,2
110,5,1.274346175,175.305,2
110,15,1.279442279,167.235,2
110,25,1.283985908,159.195,2
110,35,1.288057044,151.17,2
110,45,1.291288686,143.1973512,2
110,55,1.293863952,135.2482761,2
110,65,1.295606127,127.335,2
